"","scene_str","qrcode","url"
"20","marketing_19","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEn8DoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL1VrTUdNNExsMENLcDc0dkgxV3VMAAIEbzc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/UkMGM4Ll0CKp74vH1WuL"
"21","marketing_20","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQH47joAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL3NFTU5nZlBsM2lLbnptbHczbXVMAAIEbzc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/sEMNgfPl3iKnzmlw3muL"
"22","marketing_21","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEE7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL2FVTWxyUUxsZ3lMNnlyQXA5bXVMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/aUMlrQLlgyL6yrAp9muL"
"23","marketing_22","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEN8DoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL0JVTTBDUVhsNXlLZUJkejQ1MnVMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/BUM0CQXl5yKeBdz452uL"
"24","marketing_23","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEX7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xLzJrTlVVZkRsaWlMemR3T3RoMnVMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/2kNUUfDliiLzdwOth2uL"
"25","marketing_24","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQGs7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xLzZVTXV5aFhsakNMMU9qQkstV3VMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/6UMuyhXljCL1OjBK-WuL"
"26","marketing_25","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQGq7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL0tVTV9fdlBsbkNMbExQQjY3V3VMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/KUM__vPlnCLlLPB67WuL"
"27","marketing_26","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQHs7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL0gwTjM2UUxsMFNLb19NWnRwR3VMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/H0N36QLl0SKo_MZtpGuL"
"28","marketing_27","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEN7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL0UwTjNVdmpscmlMWHRjcXBwR3VMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/E0N3UvjlriLXtcqppGuL"
"29","marketing_28","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEZ7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL3lFTk9vYURsbENMdHhSRlpuV3VMAAIEcDc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/yENOoaDllCLtxRFZnWuL"
"30","marketing_29","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQFL7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL0ZrT2Jkb3psV1NJZzRNX1dTR3VMAAIEcTc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/FkObdozlWSIg4M_WSGuL"
"31","marketing_30","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQGa7joAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL1lrTkMwZ3JsbHlMdXRyc2xrV3VMAAIEcTc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/YkNC0grllyLutrslkWuL"
